epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,1479.14,0.75993,0.41069,0.8362,0.98852,1,0.9891,0.79128,0.77989,0.36513,0.83576,0.000779948,0.000779948,0.000779948
45,1515.22,0.73321,0.40656,0.84795,0.98905,1,0.99007,0.84316,0.62197,0.35129,0.81232,0.000759318,0.000759318,0.000759318
46,1551.62,0.73953,0.40891,0.83738,0.98908,1,0.99023,0.78544,0.81923,0.38702,0.84079,0.000738689,0.000738689,0.000738689
47,1587.47,0.73632,0.40845,0.83483,0.98455,1,0.98783,0.83211,0.67771,0.35154,0.82128,0.00071806,0.00071806,0.00071806
48,1624.73,0.72066,0.4006,0.82916,0.98916,1,0.98894,0.79245,0.85207,0.36789,0.84748,0.000697431,0.000697431,0.000697431
49,1669.31,0.71738,0.39582,0.83569,0.98926,1,0.99187,0.81493,0.79108,0.37077,0.83857,0.000676802,0.000676802,0.000676802
50,1713.36,0.68145,0.38084,0.82252,0.98912,1,0.99199,0.7436,1.00801,0.41059,0.87764,0.000656173,0.000656173,0.000656173
51,1756.8,0.70118,0.3942,0.82055,0.98912,1,0.98979,0.78915,0.8087,0.37887,0.84292,0.000635544,0.000635544,0.000635544
52,1799.55,0.69391,0.38468,0.8259,0.98913,1,0.99225,0.83973,0.70033,0.3407,0.82221,0.000614915,0.000614915,0.000614915
53,1843.52,0.70407,0.38573,0.83377,0.98902,1,0.99144,0.77969,0.88352,0.39073,0.85063,0.000594286,0.000594286,0.000594286
54,1886.77,0.70495,0.38247,0.82837,0.9892,1,0.99205,0.8397,0.68848,0.34591,0.82206,0.000573656,0.000573656,0.000573656
55,1929.57,0.67394,0.36722,0.82067,0.98898,1,0.99168,0.82874,0.7206,0.34344,0.82584,0.000553027,0.000553027,0.000553027
56,1974.12,0.69635,0.37545,0.83264,0.989,1,0.99077,0.81984,0.74566,0.33154,0.82899,0.000532398,0.000532398,0.000532398
57,2017.54,0.67207,0.36233,0.82556,0.98907,1,0.99006,0.85313,0.64935,0.31607,0.81538,0.000511769,0.000511769,0.000511769
